Country,Initials,Host,Year,Result,Last opponent,Remarks,Goals_scored,Goals_conceded,Matches,Wins,Draws,Losses,Win percentage,Coach
Argentina,ARG,USA,1994,Round of 16,Romania,Eliminated by Romania,8,6,4,2,0,2,50.0,BASILE Alfio (ARG)
Argentina,ARG,France,1998,Quarter-finals,Netherlands,Eliminated by Netherlands,10,4,5,4,0,1,80.0,PASSARELLA Daniel (ARG)
Argentina,ARG,Korea/Japan,2002,Group stage,Sweden,Eliminated in the group stages,2,2,3,1,1,1,33.33,BIELSA Marcelo (ARG)
Argentina,ARG,Germany,2006,Quarter-finals,Germany,Eliminated by Germany,11,3,5,3,1,1,60.0,Jos� P�KERMAN (ARG)
Argentina,ARG,South Africa,2010,Quarter-finals,Germany,Eliminated by Germany,10,6,5,4,0,1,80.0,MARADONA Diego (ARG)
Argentina,ARG,Brazil,2014,Runners-up,Germany,Lost the final to Germany,8,4,7,6,0,1,85.71,SABELLA Alejandro (ARG)
Australia,AUS,Uruguay,1930,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,Italy,1934,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,France,1938,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,Brazil,1950,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,Switzerland,1954,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,Sweden,1958,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,Chile,1962,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,England,1966,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,Mexico,1970,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,Germany,1974,Group stage,Chile,Eliminated in the group stages,0,5,3,0,1,2,0.0,RASIC Rale (YUG)
Australia,AUS,Argentina,1978,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,Spain,1982,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,Mexico,1986,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,Italy,1990,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,USA,1994,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,France,1998,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,Korea/Japan,2002,Not qualified,,Did not qualify for the tournament,,,,,,,,
Australia,AUS,Germany,2006,Round of 16,Italy,Eliminated by Italy,5,6,4,1,1,2,25.0,HIDDINK Guus (NED)
Australia,AUS,South Africa,2010,Group stage,Serbia,Eliminated in the group stages,3,6,3,1,1,1,33.33,VERBEEK Pim (NED)
Australia,AUS,Brazil,2014,Group stage,Spain,Eliminated in the group stages,3,9,3,0,0,3,0.0,POSTECOGLOU Ange (AUS)
Austria,AUT,Uruguay,1930,Not qualified,,Did not qualify for the tournament,,,,,,,,
Austria,AUT,Italy,1934,Fourth place,Germany,Finished 4th behind Germany,7,7,4,2,0,2,50.0,MEISL Hugo (AUT)
Austria,AUT,France,1938,Not qualified,,Did not qualify for the tournament,,,,,,,,
Austria,AUT,Brazil,1950,Not qualified,,Did not qualify for the tournament,,,,,,,,
Austria,AUT,Switzerland,1954,Third place,Uruguay,Beaten Uruguay to finish 3rd,17,12,5,4,0,1,80.0,NAUSCH Walter (AUT)
Austria,AUT,Sweden,1958,Group stage,England,Eliminated in the group stages,2,7,3,0,1,2,0.0,ARGAUER Josef (AUT)
Austria,AUT,Chile,1962,Not qualified,,Did not qualify for the tournament,,,,,,,,
Austria,AUT,England,1966,Not qualified,,Did not qualify for the tournament,,,,,,,,
Austria,AUT,Mexico,1970,Not qualified,,Did not qualify for the tournament,,,,,,,,
Austria,AUT,Germany,1974,Not qualified,,Did not qualify for the tournament,,,,,,,,
Austria,AUT,Argentina,1978,Group stage,Germany,Eliminated in the group stages,7,10,6,3,0,3,50.0,SENEKOWITSCH Helmut (AUT)
Austria,AUT,Spain,1982,Group stage,Northern Ireland,Eliminated in the group stages,5,4,5,2,1,2,40.0,SCHMIDT Georg (AUT)
Austria,AUT,Mexico,1986,Not qualified,,Did not qualify for the tournament,,,,,,,,
Austria,AUT,Italy,1990,Group stage,USA,Eliminated in the group stages,2,3,3,1,0,2,33.33,HICKERSBERGER Josef (AUT)
Austria,AUT,USA,1994,Not qualified,,Did not qualify for the tournament,,,,,,,,
Austria,AUT,France,1998,Group stage,Italy,Eliminated in the group stages,3,4,3,0,2,1,0.0,PROHASKA Herbert (AUT)
Austria,AUT,Korea/Japan,2002,Not qualified,,Did not qualify for the tournament,,,,,,,,
Austria,AUT,Germany,2006,Not qualified,,Did not qualify for the tournament,,,,,,,,
Austria,AUT,South Africa,2010,Not qualified,,Did not qualify for the tournament,,,,,,,,
Austria,AUT,Brazil,2014,Not qualified,,Did not qualify for the tournament,,,,,,,,
Belgium,BEL,Uruguay,1930,Group stage,Paraguay,Eliminated in the group stages,0,4,2,0,0,2,0.0,GOETINCK Hector (BEL)
Belgium,BEL,Italy,1934,Preliminary round,Germany,Eliminated by Germany,2,5,1,0,0,1,0.0,GOETINCK Hector (BEL)
Belgium,BEL,France,1938,Round of 16,France,Eliminated by France,1,3,1,0,0,1,0.0,BUTLER Jack (ENG)
Belgium,BEL,Brazil,1950,Not qualified,,Did not qualify for the tournament,,,,,,,,
Belgium,BEL,Switzerland,1954,Group stage,Italy,Eliminated in the group stages,5,8,2,0,1,1,0.0,LIVINGSTONE Doug (SCO)
Belgium,BEL,Sweden,1958,Not qualified,,Did not qualify for the tournament,,,,,,,,
Belgium,BEL,Chile,1962,Not qualified,,Did not qualify for the tournament,,,,,,,,
Belgium,BEL,England,1966,Not qualified,,Did not qualify for the tournament,,,,,,,,
Belgium,BEL,Mexico,1970,Group stage,Mexico,Eliminated in the group stages,4,5,3,1,0,2,33.33,GOETHALS Raymond (BEL)
Belgium,BEL,Germany,1974,Not qualified,,Did not qualify for the tournament,,,,,,,,
Belgium,BEL,Argentina,1978,Not qualified,,Did not qualify for the tournament,,,,,,,,
Belgium,BEL,Spain,1982,Group stage,Soviet Union,Eliminated in the group stages,3,5,5,2,1,2,40.0,THYS Guy (BEL)
