Country,Initials,Host,Year,Result,Last opponent,Remarks,Goals_scored,Goals_conceded,Matches,Wins,Draws,Losses,Win percentage,Coach
Algeria,ALG,Uruguay,1930,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,Italy,1934,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,France,1938,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,Brazil,1950,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,Switzerland,1954,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,Sweden,1958,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,Chile,1962,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,England,1966,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,Mexico,1970,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,Germany,1974,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,Argentina,1978,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,Spain,1982,Group stage,Chile,Eliminated in the group stages,5,5,3,2,0,1,66.67,MEKHLOUFI Rachid (ALG)
Algeria,ALG,Mexico,1986,Group stage,Spain,Eliminated in the group stages,1,5,3,0,1,2,0.0,SAADANE Rabah (ALG)
Algeria,ALG,Italy,1990,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,USA,1994,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,France,1998,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,Korea/Japan,2002,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,Germany,2006,Not qualified,,Did not qualify for the tournament,,,,,,,,
Algeria,ALG,South Africa,2010,Group stage,USA,Eliminated in the group stages,0,2,3,0,1,2,0.0,SAADANE Rabah (ALG)
Algeria,ALG,Brazil,2014,Round of 16,Germany,Eliminated by Germany,7,7,4,1,1,2,25.0,HALILHODZIC Vahid (BIH)
Angola,ANG,Uruguay,1930,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Italy,1934,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,France,1938,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Brazil,1950,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Switzerland,1954,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Sweden,1958,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Chile,1962,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,England,1966,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Mexico,1970,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Germany,1974,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Argentina,1978,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Spain,1982,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Mexico,1986,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Italy,1990,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,USA,1994,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,France,1998,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Korea/Japan,2002,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Germany,2006,Group stage,Iran,Eliminated in the group stages,1,2,3,0,2,1,0.0,GONCALVES Luis (ANG)
Angola,ANG,South Africa,2010,Not qualified,,Did not qualify for the tournament,,,,,,,,
Angola,ANG,Brazil,2014,Not qualified,,Did not qualify for the tournament,,,,,,,,
Argentina,ARG,Uruguay,1930,Runners-up,Uruguay,Lost the final to Uruguay,18,9,5,4,0,1,80.0,OLAZAR Francisco (ARG)
Argentina,ARG,Italy,1934,Preliminary round,Sweden,Eliminated by Sweden,2,3,1,0,0,1,0.0,PASCUCCI Felipe (ITA)
Argentina,ARG,France,1938,Not qualified,,Did not qualify for the tournament,,,,,,,,
Argentina,ARG,Brazil,1950,Not qualified,,Did not qualify for the tournament,,,,,,,,
Argentina,ARG,Switzerland,1954,Not qualified,,Did not qualify for the tournament,,,,,,,,
Argentina,ARG,Sweden,1958,Group stage,Czechoslovakia,Eliminated in the group stages,5,10,3,1,0,2,33.33,STABILE Guillermo (ARG)
Argentina,ARG,Chile,1962,Group stage,Hungary,Eliminated in the group stages,2,3,3,1,1,1,33.33,LORENZO Juan Carlos (ARG)
Argentina,ARG,England,1966,Quarter-finals,England,Eliminated by England,4,2,4,2,1,1,50.0,LORENZO Juan Carlos (ARG)
Argentina,ARG,Mexico,1970,Not qualified,,Did not qualify for the tournament,,,,,,,,
Argentina,ARG,Germany,1974,Group stage,German DR,Eliminated in the group stages,9,12,6,1,2,3,16.67,CAP Vladislao (ARG)
Argentina,ARG,Argentina,1978,Champions,Netherlands,Beaten Netherlands to become champions,15,4,7,5,1,1,71.43,MENOTTI Cesar Luis (ARG)
Argentina,ARG,Spain,1982,Group stage,Brazil,Eliminated in the group stages,8,7,5,2,0,3,40.0,MENOTTI Cesar Luis (ARG)
Argentina,ARG,Mexico,1986,Champions,Germany,Beaten Germany to become champions,14,5,7,6,1,0,85.71,BILARDO Carlos (ARG)
Argentina,ARG,Italy,1990,Runners-up,Germany,Lost the final to Germany,5,4,7,4,1,2,57.14,BILARDO Carlos (ARG)
